TransactionAmount,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,PreviousTransactionDate,Target
-0.9705457776964133,-0.5483933775337999,-0.2046294076264745,-0.0003151297671230473,680.0,1.0,36.0,0.0,Sudah Lansia,0.0,105.0,0
0.2689630980830924,0.3079597138762569,-0.2046294076264745,2.2183807457903577,1178.0,1.0,15.0,0.0,Sudah Lansia,0.0,192.0,2
-0.5865256317280008,-0.9052071656213235,-0.2046294076264745,-1.0240913595486316,1262.0,1.0,23.0,2.0,Anak Muda,3.0,41.0,0
-0.3872937895103424,-1.347656262849853,-0.2046294076264745,0.8866936524759148,818.0,1.0,33.0,2.0,Orang Dewasa,3.0,163.0,0
-0.7033745424531488,0.7504088111047863,-0.2046294076264745,-1.111505416232241,635.0,1.0,28.0,0.0,Anak Muda,3.0,13.0,2
-0.9945384802208211,0.27941461082925506,-0.2046294076264745,2.1049146470276483,306.0,0.0,39.0,0.0,Orang Dewasa,0.0,226.0,2
-0.43206191347885253,2.448842442401399,-0.2046294076264745,-0.5945803508242731,837.0,0.0,16.0,1.0,Sudah Lansia,2.0,271.0,2
-0.6551837790375048,-0.47703061991629514,-0.2046294076264745,1.0216828999591487,557.0,0.0,11.0,1.0,Orang Tua,1.0,290.0,0
1.773966115776767,0.008236131882737053,-0.2046294076264745,-1.049871411431692,610.0,1.0,26.0,0.0,Orang Tua,0.0,9.0,1
-0.9579162381364895,-0.8623895110508207,-0.2046294076264745,0.6379149971290198,516.0,0.0,0.0,2.0,Orang Tua,1.0,22.0,0
-0.36840081976216377,0.7646813626282872,-0.2046294076264745,-0.9197959490938808,234.0,1.0,22.0,2.0,Anak Muda,3.0,49.0,2
0.6737928918900782,-0.12021683182877146,-0.2046294076264745,-0.8963919625082934,1037.0,0.0,23.0,1.0,Anak Muda,3.0,135.0,1
1.6569118466847907,0.051053786453239894,-0.2046294076264745,-1.2634068088295642,2173.0,1.0,22.0,0.0,Orang Dewasa,3.0,43.0,1
-0.4472242062296552,0.20805185321175032,-0.2046294076264745,-1.235119828441502,283.0,1.0,21.0,2.0,Anak Muda,3.0,226.0,2
0.5742967631618986,0.13668909559424558,-0.2046294076264745,-0.4228416355328183,2354.0,1.0,10.0,0.0,Orang Dewasa,1.0,355.0,1
0.8835322372104373,0.550593089775773,-0.2046294076264745,-1.021805102334756,2031.0,0.0,2.0,1.0,Anak Muda,3.0,72.0,1
0.6683508951691355,1.635307005561845,-0.2046294076264745,-0.0008899015021489268,2367.0,1.0,8.0,2.0,Orang Dewasa,1.0,327.0,2
-0.954835862634069,-0.1915795894462762,-0.2046294076264745,0.7274279970235721,353.0,0.0,0.0,1.0,Orang Tua,2.0,337.0,0
-0.7741204998254043,0.7075911565342834,-0.2046294076264745,0.37338400391906984,1050.0,0.0,8.0,2.0,Anak Muda,3.0,177.0,2
-0.8157397955025515,-1.1621130930443406,-0.2046294076264745,0.16356666118214688,413.0,1.0,20.0,1.0,Sudah Lansia,2.0,181.0,0
-0.7252109821258625,-0.3771227592517885,-0.2046294076264745,1.0347820504382,1479.0,1.0,19.0,1.0,Orang Dewasa,0.0,110.0,0
-0.8401089883661441,0.008236131882737053,-0.2046294076264745,0.9908376721611724,1029.0,1.0,1.0,2.0,Orang Dewasa,1.0,38.0,0
0.16491485889022478,0.32223226539975786,3.1603875177866594,-0.9522064034917048,802.0,1.0,13.0,2.0,Anak Muda,3.0,41.0,2
-0.5206398223706753,-0.33430510468128566,-0.2046294076264745,-0.8166064610400058,436.0,1.0,33.0,2.0,Anak Muda,3.0,46.0,0
-0.9931351980474963,2.234754169548885,-0.2046294076264745,-0.37944380359311447,1979.0,0.0,15.0,2.0,Sudah Lansia,2.0,201.0,2
-0.17361840882577925,0.550593089775773,6.525404443199792,-1.1393023010783838,707.0,1.0,24.0,0.0,Anak Muda,3.0,314.0,2
-0.8807699449980937,-0.34857765620478665,-0.2046294076264745,-0.6227339020595613,601.0,1.0,25.0,1.0,Orang Dewasa,1.0,335.0,0
-0.5825553699693257,1.10722259919231,-0.2046294076264745,-0.8573793309934081,160.0,1.0,19.0,2.0,Orang Tua,0.0,298.0,2
-0.8265211097610229,2.3346620302133916,-0.2046294076264745,-0.9652439712848602,1753.0,1.0,11.0,1.0,Orang Dewasa,3.0,127.0,2
